epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2479,1.25062,3.13052,1.08244,0.02416,0.71051,0.30422,0.19277,1.15139,3.33886,0.95672,0.0002695,0.0002695,0.0002695
2,33.9287,1.2531,1.83725,1.08846,0.80153,0.16841,0.38548,0.24895,1.22795,2.93669,1.02417,0.000543555,0.000543555,0.000543555
3,50.6998,1.21833,1.56132,1.08932,0.58536,0.25447,0.40047,0.24488,1.30678,2.49369,1.12109,0.000813946,0.000813946,0.000813946
4,67.4221,1.22105,1.48107,1.09469,0.56861,0.59567,0.58134,0.34094,1.26557,1.52784,1.08667,0.000816507,0.000816507,0.000816507
5,83.7936,1.17319,1.41371,1.07835,0.57409,0.58162,0.55935,0.32489,1.37807,1.71526,1.16217,0.000811009,0.000811009,0.000811009
6,100.454,1.21432,1.39355,1.09082,0.68397,0.60755,0.66429,0.40389,1.24262,1.34298,1.12044,0.000805511,0.000805511,0.000805511
7,117.05,1.16048,1.29758,1.07329,0.66797,0.67458,0.68911,0.41096,1.29367,1.24086,1.13141,0.000800013,0.000800013,0.000800013
8,133.518,1.1678,1.28846,1.07308,0.75425,0.67787,0.7193,0.43096,1.30637,1.24739,1.15871,0.000794515,0.000794515,0.000794515
9,149.895,1.16226,1.24569,1.06158,0.72837,0.64229,0.71795,0.41139,1.32502,1.21823,1.14795,0.000789018,0.000789018,0.000789018
10,166.641,1.12727,1.18645,1.04633,0.67752,0.69051,0.71679,0.43698,1.23271,1.21616,1.09239,0.00078352,0.00078352,0.00078352
11,183.27,1.13848,1.17991,1.03935,0.69708,0.65365,0.69434,0.41355,1.30384,1.22015,1.13658,0.000778022,0.000778022,0.000778022
12,199.735,1.11589,1.13275,1.0433,0.63838,0.67114,0.69208,0.40398,1.27173,1.23026,1.13999,0.000772524,0.000772524,0.000772524
13,216.268,1.10204,1.09333,1.0333,0.76487,0.63926,0.69908,0.41543,1.28835,1.16606,1.12014,0.000767026,0.000767026,0.000767026
14,232.786,1.09537,1.05063,1.02767,0.75373,0.60033,0.70044,0.42476,1.24779,1.25749,1.10338,0.000761529,0.000761529,0.000761529
15,249.407,1.07059,1.00258,1.02277,0.67689,0.67069,0.69512,0.40939,1.27538,1.21212,1.12418,0.000756031,0.000756031,0.000756031
16,266.172,1.08394,1.02792,1.02705,0.71968,0.65194,0.73334,0.44017,1.21906,1.11381,1.0898,0.000750533,0.000750533,0.000750533
17,282.648,1.0818,0.99868,1.02582,0.7169,0.67142,0.75866,0.45693,1.23297,1.04628,1.08986,0.000745035,0.000745035,0.000745035
18,299.397,1.03829,0.96134,1.00604,0.64779,0.71113,0.7281,0.44748,1.23793,1.14577,1.08316,0.000739537,0.000739537,0.000739537
19,315.882,1.06574,0.96482,1.01396,0.69679,0.69403,0.73955,0.44465,1.22803,1.04864,1.0725,0.00073404,0.00073404,0.00073404
20,332.437,1.06807,0.95503,1.01904,0.73617,0.67438,0.74232,0.44994,1.20943,1.06275,1.08099,0.000728542,0.000728542,0.000728542
21,348.972,1.03501,0.91724,1.0099,0.73977,0.66405,0.7259,0.44127,1.23216,1.09717,1.11727,0.000723044,0.000723044,0.000723044
22,365.561,1.0075,0.89521,1.00084,0.73152,0.70151,0.74134,0.45685,1.265,1.04472,1.13223,0.000717546,0.000717546,0.000717546
23,382.12,1.03321,0.90016,1.00091,0.77911,0.65193,0.72219,0.42934,1.24082,1.11614,1.10868,0.000712048,0.000712048,0.000712048
24,398.636,1.02114,0.89961,1.00888,0.7708,0.67231,0.74309,0.4316,1.277,1.03926,1.12596,0.000706551,0.000706551,0.000706551
25,415.081,1.0182,0.85881,1.00569,0.7515,0.72539,0.76258,0.46295,1.24571,0.96854,1.11503,0.000701053,0.000701053,0.000701053
26,431.684,1.01692,0.87409,0.99961,0.76107,0.70238,0.7652,0.4606,1.24793,0.99749,1.13015,0.000695555,0.000695555,0.000695555
27,448.199,0.99637,0.83468,0.98779,0.74646,0.69871,0.76252,0.4612,1.24768,0.99092,1.11971,0.000690057,0.000690057,0.000690057
28,464.719,0.99105,0.83475,0.97957,0.72251,0.7,0.75632,0.46341,1.22608,1.02456,1.10077,0.000684559,0.000684559,0.000684559
29,481.121,0.98908,0.82159,0.97912,0.70352,0.7343,0.74207,0.45436,1.24919,1.01298,1.11009,0.000679062,0.000679062,0.000679062
30,497.569,0.98054,0.80773,0.97897,0.72598,0.70891,0.73013,0.43119,1.28569,1.09417,1.12693,0.000673564,0.000673564,0.000673564
31,514.018,1.00086,0.81871,0.98834,0.79763,0.69186,0.76654,0.45617,1.23123,0.95523,1.10933,0.000668066,0.000668066,0.000668066
32,530.755,0.97384,0.77926,0.97776,0.74279,0.65595,0.73352,0.44216,1.29345,1.11924,1.11997,0.000662568,0.000662568,0.000662568
33,547.504,0.95536,0.76916,0.97196,0.74179,0.67721,0.72067,0.43336,1.28728,1.10463,1.10587,0.00065707,0.00065707,0.00065707
34,564.155,0.96447,0.77904,0.97265,0.74887,0.71742,0.7537,0.45594,1.20021,0.96752,1.08505,0.000651573,0.000651573,0.000651573
35,580.685,0.98035,0.77861,0.98131,0.72608,0.69225,0.74254,0.43864,1.24366,1.05168,1.10867,0.000646075,0.000646075,0.000646075
36,597.212,0.96343,0.75528,0.9773,0.72764,0.69302,0.71716,0.42976,1.24588,1.07219,1.11083,0.000640577,0.000640577,0.000640577
37,613.715,0.94801,0.75512,0.95987,0.80279,0.70744,0.77306,0.4723,1.22948,0.97554,1.09215,0.000635079,0.000635079,0.000635079
38,630.405,0.93233,0.72699,0.95881,0.75049,0.67162,0.72882,0.44863,1.22993,1.02206,1.10686,0.000629581,0.000629581,0.000629581
39,647.022,0.93685,0.72907,0.95605,0.75491,0.70643,0.76254,0.45377,1.24855,0.96587,1.11384,0.000624084,0.000624084,0.000624084
40,663.553,0.94676,0.73721,0.9699,0.73571,0.7707,0.77584,0.45661,1.28706,0.93643,1.14883,0.000618586,0.000618586,0.000618586
41,679.986,0.95037,0.73004,0.96445,0.75624,0.71089,0.74965,0.44791,1.24113,1.03215,1.11001,0.000613088,0.000613088,0.000613088
42,696.825,0.92829,0.70367,0.96144,0.73087,0.71744,0.75851,0.4565,1.26882,0.99913,1.11723,0.00060759,0.00060759,0.00060759
43,713.762,0.92772,0.70155,0.96842,0.74991,0.70922,0.76436,0.46296,1.25456,1.02,1.11257,0.000602092,0.000602092,0.000602092
44,730.745,0.91188,0.69085,0.95215,0.72075,0.71742,0.75612,0.45804,1.24538,0.96548,1.09407,0.000596595,0.000596595,0.000596595
45,747.419,0.89162,0.66603,0.95229,0.7802,0.6513,0.72832,0.44527,1.22544,1.06382,1.09062,0.000591097,0.000591097,0.000591097
46,764.139,0.89768,0.68181,0.95663,0.75231,0.66301,0.72686,0.44423,1.22475,1.04115,1.11242,0.000585599,0.000585599,0.000585599
47,780.618,0.90521,0.66315,0.95325,0.7648,0.70637,0.7664,0.47107,1.23923,0.9061,1.11911,0.000580101,0.000580101,0.000580101
48,797.305,0.89823,0.67404,0.95887,0.79575,0.66017,0.74396,0.45948,1.26387,0.97531,1.1372,0.000574603,0.000574603,0.000574603
49,813.87,0.91207,0.67972,0.95675,0.72534,0.72635,0.7597,0.44621,1.27556,0.9893,1.13364,0.000569106,0.000569106,0.000569106
